age,job,salary,marital,education,targeted,balance,housing,contact,default
59,management,100000,divorced,tertiary,no,262,no,unknown,no
57,technician,60000,married,primary,yes,0,no,unknown,no
56,technician,60000,divorced,unknown,no,56,yes,unknown,no
51,blue-collar,20000,married,secondary,yes,26,yes,unknown,no
34,admin.,50000,married,unknown,no,3,yes,unknown,no
43,services,70000,married,secondary,yes,41,yes,unknown,no
52,technician,60000,married,tertiary,yes,7,no,email,no
33,technician,60000,single,secondary,yes,105,yes,unknown,no
29,admin.,50000,single,secondary,yes,818,yes,unknown,no
34,services,70000,married,secondary,yes,-16,yes,unknown,no
31,blue-collar,20000,married,secondary,yes,0,yes,unknown,no
55,services,70000,married,secondary,yes,2476,yes,unknown,no
55,management,100000,married,unknown,no,1185,no,unknown,no
32,admin.,50000,single,secondary,yes,217,YES,unknown,no
38,technician,60000,separated,secondary,yes,1685,YES,unknown,no
55,admin.,50000,single,secondary,yes,802,YES,unknown,no
28,unemployed,8000,single,tertiary,no,0,YES,unknown,no
23,blue-collar,20000,married,secondary,yes,94,YES,unknown,no
32,technician,60000,single,secondary,yes,0,YES,unknown,no
43,services,70000,single,unknown,no,0,no,unknown,no
32,blue-collar,20000,married,secondary,yes,517,yes,unknown,no
46,blue-collar,20000,married,secondary,yes,265,yes,unknown,no
53,housemaid,16000,divorced,primary,yes,947,yes,unknown,no
34,self-employed,60000,single,secondary,yes,3,yes,unknown,no
57,unemployed,8000,married,tertiary,yes,42,no,unknown,no
37,blue-collar,20000,married,secondary,yes,37,yes,unknown,no
59,blue-collar,20000,married,secondary,yes,57,yes,unknown,no
33,services,70000,married,secondary,yes,22,yes,unknown,no
56,blue-collar,20000,divorced,primary,yes,8,yes,unknown,no
48,unemployed,8000,married,secondary,yes,293,yes,unknown,no
43,services,70000,married,primary,yes,3,yes,unknown,no
54,blue-collar,20000,married,primary,yes,348,yes,unknown,no
51,blue-collar,20000,married,unknown,no,-19,yes,unknown,no
26,student,4000,single,secondary,yes,0,yes,unknown,no
40,management,100000,married,tertiary,yes,-4,yes,unknown,no
39,management,100000,married,secondary,yes,18,yes,unknown,no
50,technician,60000,married,primary,yes,139,no,email,no
41,services,70000,married,secondary,yes,0,yes,unknown,no
51,blue-collar,20000,married,unknown,no,1883,yes,unknown,no
60,retired,55000,divorced,secondary,yes,216,yes,unknown,no
52,blue-collar,20000,married,secondary,yes,782,yes,unknown,no
48,blue-collar,20000,married,secondary,yes,904,yes,unknown,no
48,services,70000,married,unknown,no,1705,yes,unknown,no
39,technician,60000,single,tertiary,no,47,yes,unknown,no
47,services,70000,single,secondary,yes,176,yes,unknown,no
40,blue-collar,20000,married,secondary,yes,1225,yes,unknown,no
45,technician,60000,married,secondary,yes,86,yes,unknown,no
26,admin.,50000,single,secondary,yes,82,yes,unknown,no
52,management,100000,married,tertiary,yes,271,yes,unknown,no
54,technician,60000,married,secondary,yes,1378,yes,unknown,no
54,admin.,50000,married,tertiary,yes,184,no,unknown,no
50,blue-collar,20000,married,primary,yes,0,no,unknown,no
35,blue-collar,20000,married,secondary,yes,0,yes,unknown,no
44,services,70000,married,secondary,yes,1357,yes,unknown,no
53,entrepreneur,120000,married,unknown,no,19,yes,unknown,no
35,retired,55000,single,primary,yes,434,no,unknown,no
60,admin.,NA,divorced,secondary,yes,92,yes,unknown,no
53,admin.,50000,divorced,secondary,yes,1151,yes,unknown,no
48,unemployed,8000,married,secondary,yes,41,yes,unknown,no
34,technician,60000,married,secondary,yes,51,yes,unknown,no
54,services,70000,married,secondary,yes,214,yes,unknown,no
51,management,100000,married,secondary,yes,1161,yes,unknown,no
31,services,70000,married,tertiary,yes,37,yes,unknown,no
35,technician,60000,divorced,secondary,yes,787,yes,unknown,no
35,services,70000,married,secondary,yes,59,yes,unknown,no
38,technician,60000,married,secondary,yes,253,yes,unknown,no
36,admin.,50000,married,tertiary,yes,211,yes,email,no
58,retired,55000,married,primary,yes,235,yes,unknown,no
40,services,70000,divorced,unknown,no,4384,yes,unknown,no
54,management,100000,married,secondary,yes,4080,no,unknown,no
34,blue-collar,20000,single,secondary,yes,53,yes,unknown,no
31,management,NA,single,tertiary,no,0,yes,unknown,no
51,retired,55000,married,secondary,yes,2127,yes,unknown,no
33,management,100000,married,tertiary,yes,377,yes,unknown,no
55,management,100000,separated,tertiary,yes,73,yes,unknown,no
42,admin.,50000,married,secondary,yes,445,yes,unknown,no
34,blue-collar,20000,married,secondary,yes,243,yes,unknown,no
33,blue-collar,20000,single,secondary,yes,307,yes,unknown,no
38,services,70000,married,secondary,yes,155,yes,unknown,no
50,technician,60000,divorced,tertiary,no,173,no,unknown,no
43,management,100000,married,tertiary,yes,400,yes,unknown,no
61,blue-collar,20000,divorced,primary,yes,1428,yes,unknown,no
47,admin.,50000,married,secondary,yes,219,yes,unknown,no
48,self-employed,60000,married,tertiary,yes,7,yes,unknown,no
44,blue-collar,20000,married,secondary,yes,575,yes,unknown,no
35,student,4000,single,unknown,no,298,yes,unknown,no
35,services,70000,married,secondary,yes,0,yes,unknown,no
50,services,70000,married,secondary,yes,5699,yes,unknown,no
41,management,100000,married,tertiary,yes,176,yes,unknown,no
41,management,100000,married,tertiary,yes,517,yes,unknown,no
39,services,70000,single,unknown,no,257,yes,unknown,no
42,retired,55000,married,secondary,yes,56,yes,unknown,no
38,blue-collar,20000,married,secondary,yes,-390,yes,unknown,no
53,retired,55000,married,secondary,yes,330,yes,unknown,no
59,housemaid,16000,divorced,primary,yes,195,no,unknown,no
36,services,70000,married,secondary,yes,301,yes,unknown,no
54,blue-collar,20000,married,primary,yes,-41,yes,email,no
40,technician,60000,married,tertiary,yes,483,yes,unknown,no
47,unknown,0,married,unknown,no,28,no,unknown,no
53,unemployed,8000,married,unknown,no,13,no,unknown,no
46,housemaid,16000,married,primary,yes,965,no,unknown,no
39,management,100000,married,tertiary,yes,378,yes,unknown,no
40,unemployed,NA,married,secondary,yes,219,yes,unknown,no
28,blue-collar,20000,married,primary,yes,324,yes,unknown,no
35,entrepreneur,120000,divorced,secondary,yes,-69,yes,unknown,no
55,retired,55000,married,secondary,yes,0,no,unknown,no
43,technician,60000,divorced,unknown,no,205,yes,unknown,no
48,blue-collar,20000,married,primary,yes,278,yes,unknown,no
58,management,100000,married,unknown,no,1065,yes,unknown,no
33,management,100000,single,tertiary,no,34,yes,unknown,no
36,blue-collar,20000,married,unknown,no,1033,no,unknown,no
53,services,70000,divorced,secondary,yes,1467,yes,unknown,no
47,blue-collar,20000,married,primary,yes,-12,yes,unknown,no
31,services,70000,married,secondary,yes,388,yes,unknown,no
57,entrepreneur,120000,married,secondary,yes,294,yes,unknown,no
53,blue-collar,20000,married,unknown,no,1827,no,unknown,no
55,blue-collar,20000,married,primary,yes,627,yes,unknown,no
45,blue-collar,20000,married,primary,yes,25,yes,unknown,no
53,admin.,50000,divorced,secondary,yes,315,yes,unknown,no
37,blue-collar,20000,married,primary,yes,0,yes,unknown,no
44,admin.,50000,divorced,secondary,yes,66,yes,unknown,no
49,blue-collar,20000,divorced,primary,yes,-9,yes,unknown,no
46,technician,60000,married,secondary,yes,349,yes,unknown,no
43,entrepreneur,120000,married,unknown,no,100,yes,unknown,no
38,admin.,50000,married,secondary,yes,0,no,unknown,no
43,technician,60000,married,secondary,yes,434,yes,unknown,no
49,management,NA,married,tertiary,yes,3237,yes,email,no
42,management,100000,married,unknown,no,275,no,unknown,no
22,blue-collar,20000,single,secondary,yes,0,yes,unknown,no
40,management,100000,married,tertiary,yes,207,yes,unknown,no
39,blue-collar,20000,married,secondary,yes,483,yes,unknown,no
51,services,70000,married,secondary,yes,2248,yes,unknown,no
49,admin.,50000,married,secondary,yes,428,yes,unknown,no
53,blue-collar,20000,married,secondary,yes,0,yes,unknown,no
34,services,70000,separated,secondary,yes,0,yes,unknown,no
33,technician,60000,divorced,secondary,yes,140,yes,unknown,no
50,management,100000,single,tertiary,no,297,yes,unknown,no
39,blue-collar,20000,married,primary,yes,279,yes,unknown,no
59,entrepreneur,120000,divorced,secondary,yes,901,yes,unknown,no
30,technician,60000,single,secondary,yes,2573,yes,unknown,no
36,services,70000,married,secondary,yes,143,yes,unknown,no
40,blue-collar,20000,married,secondary,yes,475,yes,unknown,no
53,blue-collar,20000,married,secondary,yes,70,yes,unknown,no
34,management,100000,single,tertiary,no,318,yes,unknown,no
37,technician,60000,married,secondary,yes,275,yes,unknown,no
42,management,100000,divorced,tertiary,no,742,yes,unknown,no
41,entrepreneur,120000,married,primary,yes,236,yes,unknown,no
30,student,4000,single,tertiary,no,25,yes,unknown,no
37,management,100000,single,tertiary,no,600,yes,unknown,no
39,admin.,50000,divorced,secondary,yes,-349,yes,unknown,no
41,blue-collar,20000,married,primary,yes,183,yes,unknown,no
40,blue-collar,20000,married,primary,yes,0,yes,unknown,no
42,management,100000,single,tertiary,no,0,yes,unknown,no
40,blue-collar,20000,divorced,primary,yes,0,yes,unknown,no
57,technician,60000,married,secondary,yes,1078,yes,unknown,no
56,entrepreneur,120000,divorced,secondary,yes,155,no,unknown,no
37,admin.,50000,married,secondary,yes,190,yes,email,no
59,retired,55000,married,secondary,yes,319,yes,unknown,no
39,services,70000,divorced,secondary,yes,-185,yes,unknown,no
49,services,70000,married,secondary,yes,47,no,unknown,no
38,services,70000,single,secondary,yes,570,yes,unknown,no
36,self-employed,60000,married,tertiary,yes,19,no,unknown,no
50,blue-collar,20000,married,primary,yes,61,yes,unknown,no
41,admin.,50000,married,secondary,yes,-62,yes,unknown,no
54,technician,60000,married,tertiary,yes,258,no,unknown,no
58,blue-collar,20000,married,primary,yes,76,yes,unknown,no
30,blue-collar,20000,single,secondary,yes,0,yes,unknown,no
33,admin.,NA,single,secondary,yes,352,yes,unknown,no
47,admin.,50000,married,secondary,yes,368,yes,unknown,no
50,technician,60000,single,tertiary,no,339,yes,unknown,no
32,blue-collar,20000,married,secondary,yes,1331,yes,unknown,no
40,self-employed,60000,married,secondary,yes,672,yes,unknown,no
37,management,100000,married,tertiary,yes,58,yes,unknown,no
54,technician,60000,single,unknown,no,447,yes,unknown,no
24,student,4000,single,secondary,yes,423,yes,unknown,no
54,management,100000,married,tertiary,yes,0,no,unknown,no
34,technician,60000,married,secondary,yes,19,yes,unknown,no
56,technician,60000,divorced,primary,yes,13,yes,unknown,no
31,blue-collar,20000,single,secondary,yes,3,yes,unknown,no
24,student,4000,single,secondary,yes,82,yes,unknown,no
42,blue-collar,20000,divorced,primary,yes,28,yes,unknown,no
57,technician,60000,married,secondary,yes,792,yes,unknown,no
42,blue-collar,20000,married,unknown,no,408,yes,unknown,no
51,admin.,50000,married,secondary,yes,531,yes,unknown,no
57,retired,55000,married,secondary,yes,211,yes,unknown,no
36,services,70000,single,secondary,yes,62,yes,unknown,no
53,services,70000,married,unknown,no,257,yes,email,no
50,technician,60000,married,secondary,yes,1234,yes,unknown,no
54,management,100000,married,tertiary,yes,313,yes,unknown,no
55,blue-collar,20000,married,secondary,yes,89,yes,unknown,no
44,blue-collar,20000,married,secondary,yes,129,yes,unknown,no
43,management,100000,married,unknown,no,0,yes,unknown,no
56,admin.,50000,married,secondary,yes,353,yes,unknown,no
54,technician,60000,married,unknown,no,851,yes,unknown,no
55,services,70000,divorced,primary,yes,96,yes,unknown,no
37,services,70000,divorced,secondary,yes,398,yes,unknown,no
33,admin.,NA,single,tertiary,no,193,no,unknown,no
46,admin.,50000,married,secondary,yes,-358,yes,unknown,no
36,blue-collar,20000,married,secondary,yes,539,yes,unknown,no
51,technician,60000,single,secondary,yes,0,yes,unknown,no
40,retired,55000,single,primary,yes,0,no,unknown,no
42,blue-collar,20000,married,secondary,yes,490,yes,unknown,no
51,blue-collar,20000,married,secondary,yes,0,yes,unknown,no
49,blue-collar,20000,married,unknown,no,403,yes,unknown,no
48,management,100000,married,secondary,yes,161,yes,unknown,no
32,technician,60000,divorced,tertiary,no,2558,no,unknown,no
31,admin.,50000,single,secondary,yes,98,yes,unknown,no
55,management,100000,single,tertiary,no,115,no,unknown,no
40,blue-collar,20000,single,secondary,yes,436,yes,unknown,no
47,technician,60000,married,tertiary,yes,831,yes,unknown,no
57,technician,60000,married,unknown,no,206,yes,unknown,no
41,blue-collar,20000,married,secondary,yes,290,yes,unknown,no
48,blue-collar,20000,married,secondary,yes,1,no,unknown,no
42,blue-collar,20000,married,unknown,no,57,yes,unknown,no
30,blue-collar,20000,single,secondary,yes,-457,yes,unknown,no
58,management,100000,single,tertiary,no,1387,yes,unknown,no
45,management,100000,divorced,tertiary,no,24598,yes,email,no
49,blue-collar,20000,married,secondary,yes,30,yes,unknown,no
42,admin.,50000,single,secondary,yes,1022,yes,unknown,no
53,technician,60000,married,secondary,yes,56,yes,unknown,no
51,admin.,50000,single,secondary,yes,-2,no,unknown,yes
32,services,70000,single,secondary,yes,121,yes,unknown,no
41,blue-collar,20000,single,secondary,yes,842,yes,unknown,no
43,management,100000,divorced,secondary,yes,693,yes,unknown,no
40,blue-collar,NA,divorced,secondary,yes,-333,yes,unknown,no
50,blue-collar,20000,married,primary,yes,1533,yes,unknown,no
34,management,100000,married,tertiary,yes,46,yes,unknown,no
53,services,70000,married,unknown,no,18,no,unknown,no
45,technician,60000,separated,secondary,yes,44,yes,unknown,no
39,blue-collar,20000,married,primary,yes,-100,yes,unknown,no
44,services,70000,married,tertiary,yes,510,yes,unknown,no
55,management,100000,married,tertiary,yes,685,yes,unknown,no
46,management,100000,single,tertiary,no,187,yes,unknown,no
45,blue-collar,20000,married,secondary,yes,66,yes,unknown,no
34,admin.,50000,married,secondary,yes,560,yes,unknown,no
36,blue-collar,20000,married,secondary,yes,0,yes,unknown,no
59,unknown,0,divorced,unknown,no,27,no,unknown,no
31,admin.,50000,single,secondary,yes,12,yes,unknown,no
44,blue-collar,20000,single,secondary,yes,34,yes,unknown,no
33,entrepreneur,120000,single,tertiary,no,1068,yes,unknown,no
40,blue-collar,20000,married,secondary,yes,211,yes,unknown,no
46,admin.,50000,single,tertiary,no,377,yes,unknown,no
48,management,100000,married,tertiary,yes,263,yes,unknown,no
42,services,70000,married,secondary,yes,1263,yes,unknown,no
27,services,70000,married,secondary,yes,8,yes,unknown,no
48,admin.,50000,married,secondary,yes,126,yes,unknown,no
59,admin.,50000,married,secondary,yes,230,yes,email,no
46,technician,60000,married,tertiary,yes,841,yes,unknown,no
38,admin.,50000,divorced,secondary,yes,308,yes,unknown,no
43,management,100000,divorced,tertiary,no,1,yes,unknown,no
38,admin.,50000,divorced,tertiary,no,86,yes,unknown,no
23,student,4000,single,secondary,yes,157,yes,unknown,no
34,services,70000,married,secondary,yes,22,yes,unknown,no
38,admin.,50000,married,secondary,yes,46,yes,unknown,no
37,blue-collar,20000,married,secondary,yes,1293,no,unknown,no
25,admin.,50000,single,secondary,yes,122,yes,unknown,no
48,blue-collar,20000,married,unknown,no,131,yes,unknown,no
49,blue-collar,20000,single,secondary,yes,143,yes,unknown,no
38,admin.,50000,single,secondary,yes,393,no,unknown,no
43,blue-collar,20000,married,primary,yes,98,yes,unknown,no
33,management,100000,married,tertiary,yes,0,yes,unknown,no
55,blue-collar,20000,married,secondary,yes,224,yes,unknown,no
38,blue-collar,20000,married,secondary,yes,757,yes,unknown,no
49,services,70000,married,secondary,yes,245,yes,unknown,no
40,management,100000,married,secondary,yes,8486,no,unknown,no
43,admin.,50000,married,unknown,no,350,no,unknown,no
38,blue-collar,20000,married,secondary,yes,20,yes,unknown,no
58,services,70000,married,secondary,yes,1667,yes,unknown,no
57,technician,60000,married,unknown,no,345,yes,unknown,no
32,unemployed,8000,married,secondary,yes,10,yes,unknown,no
56,management,100000,married,tertiary,yes,830,yes,unknown,no
58,blue-collar,20000,divorced,unknown,no,29,yes,unknown,no
60,retired,55000,divorced,secondary,yes,545,yes,unknown,no
37,technician,60000,married,tertiary,yes,8730,yes,unknown,no
46,technician,60000,divorced,tertiary,no,477,yes,unknown,no
27,admin.,50000,married,secondary,yes,4,yes,unknown,no
43,blue-collar,20000,married,secondary,yes,1205,yes,email,no
32,technician,60000,single,secondary,yes,0,yes,unknown,no
40,admin.,50000,single,secondary,yes,263,yes,unknown,no
38,admin.,50000,married,secondary,yes,1,no,unknown,no
34,blue-collar,20000,married,secondary,yes,283,no,unknown,no
47,blue-collar,20000,married,primary,yes,206,yes,unknown,no
42,housemaid,16000,married,primary,yes,17,yes,unknown,no
48,technician,60000,married,secondary,yes,141,yes,unknown,no
29,self-employed,60000,single,tertiary,no,16,yes,unknown,no
50,services,70000,married,secondary,yes,206,yes,unknown,no
52,technician,60000,married,unknown,no,7,no,unknown,no
50,management,100000,married,tertiary,yes,0,no,unknown,no
58,retired,55000,married,tertiary,yes,0,no,unknown,no
46,blue-collar,20000,divorced,primary,yes,1927,yes,unknown,no
38,technician,60000,married,secondary,yes,284,yes,unknown,no
46,blue-collar,20000,married,secondary,yes,1660,yes,unknown,no
32,services,70000,single,secondary,yes,406,yes,unknown,no
51,blue-collar,20000,married,primary,yes,230,yes,unknown,no
39,admin.,50000,single,secondary,yes,-25,yes,unknown,no
48,admin.,50000,married,secondary,yes,182,yes,unknown,no
36,entrepreneur,120000,married,tertiary,yes,1169,yes,unknown,no
34,admin.,50000,divorced,secondary,yes,67,yes,unknown,no
40,technician,60000,married,secondary,yes,77,no,unknown,no
43,unemployed,8000,married,secondary,yes,0,yes,unknown,no
52,blue-collar,20000,divorced,primary,yes,55,yes,unknown,no
33,technician,60000,married,secondary,yes,72,yes,unknown,yes
49,management,100000,single,tertiary,no,163,yes,unknown,no
32,management,100000,single,tertiary,no,151,yes,unknown,no
39,admin.,50000,single,secondary,yes,113,yes,unknown,no
40,blue-collar,20000,married,secondary,yes,0,yes,unknown,no
38,technician,60000,single,tertiary,no,9,yes,email,no
43,management,100000,married,secondary,yes,375,yes,unknown,no
39,services,70000,married,secondary,yes,1142,yes,unknown,no
54,blue-collar,20000,married,primary,yes,2102,yes,unknown,no
38,technician,60000,single,tertiary,no,4325,yes,unknown,no
40,blue-collar,20000,married,secondary,yes,217,yes,unknown,no
55,admin.,50000,married,secondary,yes,131,yes,unknown,no
42,management,100000,married,tertiary,yes,1680,yes,unknown,no
39,blue-collar,20000,married,secondary,yes,0,yes,unknown,no
40,blue-collar,20000,married,primary,yes,46,yes,unknown,no
32,blue-collar,20000,married,secondary,yes,320,yes,unknown,no
55,admin.,50000,married,secondary,yes,183,yes,unknown,no
45,blue-collar,20000,married,secondary,yes,39,no,unknown,no
35,management,100000,single,tertiary,no,560,yes,unknown,no
58,technician,60000,divorced,secondary,yes,469,no,unknown,no
35,admin.,50000,married,secondary,yes,530,yes,unknown,no
49,services,70000,married,primary,yes,61,yes,unknown,no
34,technician,60000,single,tertiary,no,242,yes,unknown,no
36,blue-collar,20000,married,secondary,yes,139,yes,unknown,no
24,self-employed,60000,single,secondary,yes,0,yes,unknown,no
34,technician,60000,married,secondary,yes,367,yes,unknown,no
51,admin.,50000,divorced,secondary,yes,228,yes,unknown,no
39,technician,60000,single,unknown,no,45248,yes,unknown,no
50,self-employed,60000,married,unknown,no,-84,yes,unknown,no
32,services,70000,single,secondary,yes,310,yes,unknown,no
42,blue-collar,20000,married,unknown,no,132,yes,unknown,no
50,technician,60000,married,secondary,yes,797,yes,unknown,no
40,services,70000,married,secondary,yes,71,no,unknown,no
46,management,100000,divorced,unknown,no,2,yes,unknown,no
37,management,100000,married,tertiary,yes,231,yes,unknown,no
34,blue-collar,20000,married,secondary,yes,270,yes,email,no
44,blue-collar,20000,married,secondary,yes,274,yes,unknown,no
40,admin.,50000,single,secondary,yes,-109,yes,unknown,no
37,technician,60000,married,secondary,yes,1,yes,unknown,no
33,blue-collar,20000,single,secondary,yes,-60,no,unknown,yes
35,blue-collar,20000,married,secondary,yes,89,yes,unknown,no
58,blue-collar,20000,divorced,secondary,yes,-11,no,unknown,no
39,blue-collar,20000,married,primary,yes,0,yes,unknown,no
43,blue-collar,20000,married,secondary,yes,-509,yes,unknown,no
39,unemployed,8000,married,primary,yes,408,yes,unknown,no
36,services,70000,single,primary,yes,58,yes,unknown,no
57,retired,55000,single,secondary,yes,1640,no,unknown,no
36,admin.,50000,single,secondary,yes,20,yes,unknown,no
50,blue-collar,20000,married,primary,yes,71,yes,unknown,no
55,blue-collar,20000,married,secondary,yes,52,yes,unknown,no
44,self-employed,60000,married,tertiary,yes,292,yes,unknown,no
44,services,70000,divorced,secondary,yes,424,yes,unknown,no
39,housemaid,16000,single,primary,yes,109,yes,unknown,no
46,blue-collar,20000,married,unknown,no,1044,yes,unknown,no
39,blue-collar,20000,married,secondary,yes,983,yes,unknown,no
34,admin.,50000,married,secondary,yes,869,no,unknown,no
40,blue-collar,20000,married,primary,yes,668,yes,unknown,no
50,management,100000,married,tertiary,yes,964,yes,unknown,no
31,management,100000,single,secondary,yes,301,yes,unknown,no
37,admin.,50000,single,secondary,yes,140,yes,unknown,no
39,management,100000,single,secondary,yes,1877,yes,unknown,no
